,dry_season_type,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
PRT.7_1,PRT,Portugal,PRT.7_1,Coimbra,District,2.0
PRT.6_1,PRT,Portugal,PRT.6_1,Castelo Branco,District,2.0
ESP.11_1,ESP,Spain,ESP.11_1,Extremadura,Autonomous Community,2.0
ESP.10_1,ESP,Spain,ESP.10_1,Comunidad Valenciana,Autonomous Community,2.2222222222222223
ALB.12_1,ALB,Albania,ALB.12_1,Vlorë,County,2.0
ALB.6_1,ALB,Albania,ALB.6_1,Gjirokastër,County,2.0
GRC.2_1,GRC,Greece,GRC.2_1,Athos,Decentralized administration,0.0
TUR.22_1,TUR,Turkey,TUR.22_1,Çanakkale,Province,2.0
TUR.12_1,TUR,Turkey,TUR.12_1,Balikesir,Province,2.0
TUR.21_1,TUR,Turkey,TUR.21_1,Bursa,Province,2.0
TUR.16_1,TUR,Turkey,TUR.16_1,Bilecik,Province,2.0
TUR.7_1,TUR,Turkey,TUR.7_1,Ankara,Province,2.0
TUR.49_1,TUR,Turkey,TUR.49_1,Kinkkale,Province,2.0
TUR.72_1,TUR,Turkey,TUR.72_1,Sivas,Province,2.0
TUR.35_1,TUR,Turkey,TUR.35_1,Gümüshane,Province,2.0
TUR.15_1,TUR,Turkey,TUR.15_1,Bayburt,Province,2.0
ARM.3_1,ARM,Armenia,ARM.3_1,Armavir,Province,2.0
ARM.6_1,ARM,Armenia,ARM.6_1,Kotayk,Province,2.0
ARM.5_1,ARM,Armenia,ARM.5_1,Gegharkunik,Province,2.0
AZE.5_1,AZE,Azerbaijan,AZE.5_1,Kalbajar-Lachin,Region,2.0
AZE.10_1,AZE,Azerbaijan,AZE.10_1,Yukhari-Karabakh,Region,2.0
UZB.10_1,UZB,Uzbekistan,UZB.10_1,Samarkand,Region,1.6666666666666667
UZB.3_1,UZB,Uzbekistan,UZB.3_1,Ferghana,Region,2.0
KGZ.1_1,KGZ,Kyrgyzstan,KGZ.1_1,Batken,Province,1.4285714285714286
CHN.25_1,CHN,China,CHN.25_1,Shanxi,Province,2.3384615384615386
PRK.9_1,PRK,North Korea,PRK.9_1,P'yŏngan-bukto,Province,2.0
JPN.2_1,JPN,Japan,JPN.2_1,Akita,Prefecture,2.0
JPN.16_1,JPN,Japan,JPN.16_1,Iwate,Prefecture,2.0
USA.17_1,USA,United States,USA.17_1,Kansas,State,2.0454545454545454
USA.49_1,USA,United States,USA.49_1,West Virginia,State,2.0
USA.8_1,USA,United States,USA.8_1,Delaware,State,2.0
PRT.11_1,PRT,Portugal,PRT.11_1,Leiria,District,2.0
PRT.16_1,PRT,Portugal,PRT.16_1,Santarém,District,2.0
ESP.13_1,ESP,Spain,ESP.13_1,Islas Baleares,Autonomous Community,2.0
ITA.4_1,ITA,Italy,ITA.4_1,Calabria,Region,2.0
GRC.7_1,GRC,Greece,GRC.7_1,"Peloponnese, Western Greece and the Ionian Islands",Decentralized administration,1.6
GRC.8_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Decentralized administration,1.8461538461538463
TUR.32_1,TUR,Turkey,TUR.32_1,Eskisehir,Province,2.0
TUR.80_1,TUR,Turkey,TUR.80_1,Yozgat,Province,2.0
TUR.30_1,TUR,Turkey,TUR.30_1,Erzincan,Province,2.0
TUR.4_1,TUR,Turkey,TUR.4_1,Agri,Province,2.0
TUR.38_1,TUR,Turkey,TUR.38_1,Iğdır,Province,2.0
ARM.2_1,ARM,Armenia,ARM.2_1,Ararat,Province,2.0
ARM.11_1,ARM,Armenia,ARM.11_1,Vayots Dzor,Province,2.0
ARM.9_1,ARM,Armenia,ARM.9_1,Syunik,Province,2.0
TKM.1_1,TKM,Turkmenistan,TKM.1_1,Ahal,Province,1.05
CHN.27_1,CHN,China,CHN.27_1,Tianjin,Municipality,2.0
PRK.10_1,PRK,North Korea,PRK.10_1,P'yŏngan-namdo,Province,2.0
USA.47_1,USA,United States,USA.47_1,Virginia,State,2.106382978723404
USA.21_1,USA,United States,USA.21_1,Maryland,State,2.375
PRT.12_1,PRT,Portugal,PRT.12_1,Lisboa,District,2.0
PRT.14_1,PRT,Portugal,PRT.14_1,Portalegre,District,2.0
GRC.1_1,GRC,Greece,GRC.1_1,Aegean,Decentralized administration,1.0
TUR.41_1,TUR,Turkey,TUR.41_1,Izmir,Province,2.0
TUR.56_1,TUR,Turkey,TUR.56_1,Manisa,Province,2.0
TUR.54_1,TUR,Turkey,TUR.54_1,Kütahya,Province,2.0
TUR.3_1,TUR,Turkey,TUR.3_1,Afyon,Province,2.0
TUR.51_1,TUR,Turkey,TUR.51_1,Kirsehir,Province,2.0
TUR.61_1,TUR,Turkey,TUR.61_1,Nevsehir,Province,2.0
TUR.76_1,TUR,Turkey,TUR.76_1,Tunceli,Province,2.0
TUR.17_1,TUR,Turkey,TUR.17_1,Bingöl,Province,2.0
TUR.60_1,TUR,Turkey,TUR.60_1,Mus,Province,2.0
TUR.78_1,TUR,Turkey,TUR.78_1,Van,Province,2.0
IRN.29_1,IRN,Iran,IRN.29_1,West Azarbaijan,Province,2.0
AZE.7_1,AZE,Azerbaijan,AZE.7_1,Nakhchivan,Region,2.0
IRN.5_1,IRN,Iran,IRN.5_1,East Azarbaijan,Province,2.0
IRN.2_1,IRN,Iran,IRN.2_1,Ardebil,Province,2.0
AZE.6_1,AZE,Azerbaijan,AZE.6_1,Lankaran,Region,2.0
TKM.5_1,TKM,Turkmenistan,TKM.5_1,Mary,Province,1.1818181818181819
UZB.6_1,UZB,Uzbekistan,UZB.6_1,Kashkadarya,Region,1.7142857142857142
TJK.5_1,TJK,Tajikistan,TJK.5_1,Tadzhikistan Territories,Region,1.6363636363636365
TJK.2_1,TJK,Tajikistan,TJK.2_1,Gorno-Badakhshan,Region,1.0384615384615385
CHN.21_1,CHN,China,CHN.21_1,Qinghai,Province,1.3368421052631578
CHN.20_1,CHN,China,CHN.20_1,Ningxia Hui,Autonomous Region,1.9047619047619047
CHN.22_1,CHN,China,CHN.22_1,Shaanxi,Province,2.097560975609756
PRK.11_1,PRK,North Korea,PRK.11_1,P'yŏngyang,Special City,2.0
PRK.7_1,PRK,North Korea,PRK.7_1,Kangwŏn-do,Province,2.0
USA.18_1,USA,United States,USA.18_1,Kentucky,State,2.0
PRT.2_1,PRT,Portugal,PRT.2_1,Azores,'Autonomous Region',0.0
PRT.8_1,PRT,Portugal,PRT.8_1,Évora,District,2.0
TUR.77_1,TUR,Turkey,TUR.77_1,Usak,Province,2.0
TUR.53_1,TUR,Turkey,TUR.53_1,Konya,Province,2.0
TUR.47_1,TUR,Turkey,TUR.47_1,Kayseri,Province,2.0
TUR.55_1,TUR,Turkey,TUR.55_1,Malatya,Province,2.0
TUR.29_1,TUR,Turkey,TUR.29_1,Elazığ,Province,2.0
TUR.18_1,TUR,Turkey,TUR.18_1,Bitlis,Province,2.0
UZB.12_1,UZB,Uzbekistan,UZB.12_1,Surkhandarya,Region,2.0
PRK.4_1,PRK,North Korea,PRK.4_1,Hwanghae-bukto,Province,2.0
JPN.45_1,JPN,Japan,JPN.45_1,Yamagata,Prefecture,2.0
JPN.24_1,JPN,Japan,JPN.24_1,Miyagi,Prefecture,2.0
PRT.17_1,PRT,Portugal,PRT.17_1,Setúbal,District,2.0
PRT.3_1,PRT,Portugal,PRT.3_1,Beja,District,2.0
ESP.1_1,ESP,Spain,ESP.1_1,Andalucía,Autonomous Community,2.0277777777777777
ESP.18_1,ESP,Spain,ESP.18_1,Región de Murcia,Autonomous Community,2.0
ITA.15_1,ITA,Italy,ITA.15_1,Sicily,Autonomous Region,2.0
GRC.3_1,GRC,Greece,GRC.3_1,Attica,Decentralized administration,2.0
TUR.25_1,TUR,Turkey,TUR.25_1,Denizli,Province,2.0
TUR.39_1,TUR,Turkey,TUR.39_1,Isparta,Province,2.0
TUR.5_1,TUR,Turkey,TUR.5_1,Aksaray,Province,2.0
TUR.62_1,TUR,Turkey,TUR.62_1,Nigde,Province,2.0
TUR.1_1,TUR,Turkey,TUR.1_1,Adana,Province,2.0
TUR.42_1,TUR,Turkey,TUR.42_1,K. Maras,Province,2.0
TUR.26_1,TUR,Turkey,TUR.26_1,Diyarbakir,Province,2.0
TUR.14_1,TUR,Turkey,TUR.14_1,Batman,Province,2.0
IRN.8_1,IRN,Iran,IRN.8_1,Gilan,Province,2.0
IRN.21_1,IRN,Iran,IRN.21_1,North Khorasan,Province,1.1818181818181819
TJK.3_1,TJK,Tajikistan,TJK.3_1,Khatlon,Region,2.0
AFG.1_1,AFG,Afghanistan,AFG.1_1,Badakhshan,Province,1.3333333333333333
PRK.5_1,PRK,North Korea,PRK.5_1,Hwanghae-namdo,Province,2.0
KOR.6_1,KOR,South Korea,KOR.6_1,Gangwon-do,Province,2.0
JPN.29_1,JPN,Japan,JPN.29_1,Niigata,Prefecture,2.0
TUR.11_1,TUR,Turkey,TUR.11_1,Aydin,Province,2.0
TUR.20_1,TUR,Turkey,TUR.20_1,Burdur,Province,2.0
TUR.2_1,TUR,Turkey,TUR.2_1,Adiyaman,Province,2.0
TUR.68_1,TUR,Turkey,TUR.68_1,Sanliurfa,Province,2.0
TUR.69_1,TUR,Turkey,TUR.69_1,Siirt,Province,2.0
TUR.71_1,TUR,Turkey,TUR.71_1,Sirnak,Province,2.0
IRN.9_1,IRN,Iran,IRN.9_1,Golestan,Province,1.125
IRN.24_1,IRN,Iran,IRN.24_1,Razavi Khorasan,Province,1.263157894736842
CHN.23_1,CHN,China,CHN.23_1,Shandong,Province,2.064516129032258
KOR.8_1,KOR,South Korea,KOR.8_1,Gyeonggi-do,Province,2.0
JPN.8_1,JPN,Japan,JPN.8_1,Fukushima,Prefecture,2.0
PRT.9_1,PRT,Portugal,PRT.9_1,Faro,District,2.0
TUN.4_1,TUN,Tunisia,TUN.4_1,Bizerte,Governorate,2.0
TUR.59_1,TUR,Turkey,TUR.59_1,Mugla,Province,2.0
TUR.8_1,TUR,Turkey,TUR.8_1,Antalya,Province,2.0
TUR.44_1,TUR,Turkey,TUR.44_1,Karaman,Province,2.0
TUR.58_1,TUR,Turkey,TUR.58_1,Mersin,Province,2.0
TUR.64_1,TUR,Turkey,TUR.64_1,Osmaniye,Province,2.0
TUR.33_1,TUR,Turkey,TUR.33_1,Gaziantep,Province,2.0
TUR.57_1,TUR,Turkey,TUR.57_1,Mardin,Province,2.0
SYR.1_1,SYR,Syria,SYR.1_1,Al Ḥasakah,Province,2.0
IRQ.12_1,IRQ,Iraq,IRQ.12_1,Dihok,Province,2.0
TUR.36_1,TUR,Turkey,TUR.36_1,Hakkari,Province,2.0
IRQ.6_1,IRQ,Iraq,IRQ.6_1,Arbil,Province,2.0
IRN.25_1,IRN,Iran,IRN.25_1,Semnan,Province,1.0
AFG.13_1,AFG,Afghanistan,AFG.13_1,Jawzjan,Province,1.8
AFG.4_1,AFG,Afghanistan,AFG.4_1,Balkh,Province,1.8571428571428572
AFG.19_1,AFG,Afghanistan,AFG.19_1,Kunduz,Province,2.0
AFG.31_1,AFG,Afghanistan,AFG.31_1,Takhar,Province,1.8
JPN.15_1,JPN,Japan,JPN.15_1,Ishikawa,Prefecture,1.3333333333333333
USA.3_1,USA,United States,USA.3_1,Arizona,State,1.0884955752212389
USA.32_1,USA,United States,USA.32_1,New Mexico,State,1.098360655737705
USA.37_1,USA,United States,USA.37_1,Oklahoma,State,2.4507042253521125
DZA.4_1,DZA,Algeria,DZA.4_1,Alger,Province,2.0
DZA.13_1,DZA,Algeria,DZA.13_1,Boumerdès,Province,2.0
DZA.47_1,DZA,Algeria,DZA.47_1,Tizi Ouzou,Province,2.0
DZA.8_1,DZA,Algeria,DZA.8_1,Béjaïa,Province,2.0
DZA.23_1,DZA,Algeria,DZA.23_1,Jijel,Province,2.0
DZA.39_1,DZA,Algeria,DZA.39_1,Skikda,Province,2.0
DZA.19_1,DZA,Algeria,DZA.19_1,El Tarf,Province,2.0
TUN.7_1,TUN,Tunisia,TUN.7_1,Jendouba,Governorate,2.0
TUN.2_1,TUN,Tunisia,TUN.2_1,Béja,Governorate,2.0
TUN.13_1,TUN,Tunisia,TUN.13_1,Manubah,Governorate,2.0
TUN.3_1,TUN,Tunisia,TUN.3_1,Ben Arous (Tunis Sud),Governorate,3.0
TUN.16_1,TUN,Tunisia,TUN.16_1,Nabeul,Governorate,2.0
TUR.37_1,TUR,Turkey,TUR.37_1,Hatay,Province,2.0
SYR.2_1,SYR,Syria,SYR.2_1,Aleppo,Province,2.0
TUR.48_1,TUR,Turkey,TUR.48_1,Kilis,Province,2.0
IRQ.16_1,IRQ,Iraq,IRQ.16_1,Ninawa,Province,2.0
IRN.31_1,IRN,Iran,IRN.31_1,Zanjan,Province,2.0
IRN.22_1,IRN,Iran,IRN.22_1,Qazvin,Province,2.0
IRN.20_1,IRN,Iran,IRN.20_1,Mazandaran,Province,1.25
AFG.8_1,AFG,Afghanistan,AFG.8_1,Faryab,Province,1.375
PAK.5_1,PAK,Pakistan,PAK.5_1,N.W.F.P.,Province,2.0714285714285716
PAK.6_1,PAK,Pakistan,PAK.6_1,Northern Areas,Centrally Administered Area,1.2222222222222223
KOR.3_1,KOR,South Korea,KOR.3_1,Chungcheongnam-do,Province,1.6
KOR.2_1,KOR,South Korea,KOR.2_1,Chungcheongbuk-do,Province,2.0
KOR.9_1,KOR,South Korea,KOR.9_1,Gyeongsangbuk-do,Province,2.0
JPN.43_1,JPN,Japan,JPN.43_1,Toyama,Prefecture,2.0
JPN.26_1,JPN,Japan,JPN.26_1,Nagano,Prefecture,2.0
JPN.10_1,JPN,Japan,JPN.10_1,Gunma,Prefecture,2.0
JPN.39_1,JPN,Japan,JPN.39_1,Tochigi,Prefecture,2.0
USA.44_1,USA,United States,USA.44_1,Texas,State,1.9461538461538461
USA.4_1,USA,United States,USA.4_1,Arkansas,State,2.2181818181818183
USA.43_1,USA,United States,USA.43_1,Tennessee,State,2.0
USA.34_1,USA,United States,USA.34_1,North Carolina,State,2.06
DZA.14_1,DZA,Algeria,DZA.14_1,Chlef,Province,2.0
DZA.2_1,DZA,Algeria,DZA.2_1,Aïn Defla,Province,2.0
DZA.28_1,DZA,Algeria,DZA.28_1,Médéa,Province,2.0
DZA.12_1,DZA,Algeria,DZA.12_1,Bouira,Province,2.0
DZA.11_1,DZA,Algeria,DZA.11_1,Bordj Bou Arréridj,Province,2.0
DZA.37_1,DZA,Algeria,DZA.37_1,Sétif,Province,2.0
DZA.29_1,DZA,Algeria,DZA.29_1,Mila,Province,2.0
DZA.15_1,DZA,Algeria,DZA.15_1,Constantine,Province,2.0
DZA.21_1,DZA,Algeria,DZA.21_1,Guelma,Province,2.0
DZA.40_1,DZA,Algeria,DZA.40_1,Souk Ahras,Province,2.0
TUN.11_1,TUN,Tunisia,TUN.11_1,Le Kef,Governorate,2.0
TUN.19_1,TUN,Tunisia,TUN.19_1,Siliana,Governorate,2.0
TUN.24_1,TUN,Tunisia,TUN.24_1,Zaghouan,Governorate,2.5
SYR.10_1,SYR,Syria,SYR.10_1,Idlib,Province,2.0
SYR.3_1,SYR,Syria,SYR.3_1,Ar Raqqah,Province,2.0
IRQ.7_1,IRQ,Iraq,IRQ.7_1,As-Sulaymaniyah,Province,2.0
IRN.17_1,IRN,Iran,IRN.17_1,Kordestan,Province,2.0
IRN.1_1,IRN,Iran,IRN.1_1,Alborz,Province,1.6666666666666667
AFG.30_1,AFG,Afghanistan,AFG.30_1,Sari Pul,Province,1.1666666666666667
AFG.29_1,AFG,Afghanistan,AFG.29_1,Samangan,Province,2.0
AFG.3_1,AFG,Afghanistan,AFG.3_1,Baghlan,Province,1.7777777777777777
CHN.29_1,CHN,China,CHN.29_1,Xizang,Autonomous Region,1.6983758700696057
CHN.12_1,CHN,China,CHN.12_1,Henan,Province,2.203125
JPN.37_1,JPN,Japan,JPN.37_1,Shimane,Prefecture,1.0
JPN.6_1,JPN,Japan,JPN.6_1,Fukui,Prefecture,2.0
JPN.9_1,JPN,Japan,JPN.9_1,Gifu,Prefecture,2.0
JPN.14_1,JPN,Japan,JPN.14_1,Ibaraki,Prefecture,2.0
MAR.14_1,MAR,Morocco,MAR.14_1,Tanger - Tétouan,Region,2.0
DZA.32_1,DZA,Algeria,DZA.32_1,Oran,Province,3.0
DZA.30_1,DZA,Algeria,DZA.30_1,Mostaganem,Province,2.0
DZA.35_1,DZA,Algeria,DZA.35_1,Relizane,Province,2.0
DZA.46_1,DZA,Algeria,DZA.46_1,Tissemsilt,Province,2.0
DZA.16_1,DZA,Algeria,DZA.16_1,Djelfa,Province,1.8333333333333333
DZA.26_1,DZA,Algeria,DZA.26_1,M'Sila,Province,2.0
DZA.6_1,DZA,Algeria,DZA.6_1,Batna,Province,2.0
DZA.34_1,DZA,Algeria,DZA.34_1,Oum el Bouaghi,Province,2.0
DZA.42_1,DZA,Algeria,DZA.42_1,Tébessa,Province,1.8333333333333333
TUN.9_1,TUN,Tunisia,TUN.9_1,Kassérine,Governorate,2.0
TUN.8_1,TUN,Tunisia,TUN.8_1,Kairouan,Governorate,3.0
TUN.20_1,TUN,Tunisia,TUN.20_1,Sousse,Governorate,2.0
TUN.15_1,TUN,Tunisia,TUN.15_1,Monastir,Governorate,2.0
SYR.8_1,SYR,Syria,SYR.8_1,Hamah,Province,2.0
SYR.7_1,SYR,Syria,SYR.7_1,Dayr Az Zawr,Province,1.3
IRQ.8_1,IRQ,Iraq,IRQ.8_1,At-Ta'mim,Province,2.0
IRN.28_1,IRN,Iran,IRN.28_1,Tehran,Province,1.3333333333333333
AFG.2_1,AFG,Afghanistan,AFG.2_1,Badghis,Province,1.5555555555555556
AFG.27_1,AFG,Afghanistan,AFG.27_1,Panjshir,Province,1.0
AFG.24_1,AFG,Afghanistan,AFG.24_1,Nuristan,Province,1.6666666666666667
KOR.13_1,KOR,South Korea,KOR.13_1,Jeollabuk-do,Province,2.0
KOR.10_1,KOR,South Korea,KOR.10_1,Gyeongsangnam-do,Province,2.0
JPN.22_1,JPN,Japan,JPN.22_1,Kyoto,Urban Prefecture,1.5
JPN.47_1,JPN,Japan,JPN.47_1,Yamanashi,Prefecture,2.0
JPN.41_1,JPN,Japan,JPN.41_1,Tokyo,Metropolis,2.0
JPN.4_1,JPN,Japan,JPN.4_1,Chiba,Prefecture,1.3333333333333333
MAR.10_1,MAR,Morocco,MAR.10_1,Oriental,Region,1.625
DZA.3_1,DZA,Algeria,DZA.3_1,Aïn Témouchent,Province,3.0
DZA.38_1,DZA,Algeria,DZA.38_1,Sidi Bel Abbès,Province,2.5
DZA.27_1,DZA,Algeria,DZA.27_1,Mascara,Province,2.0
DZA.43_1,DZA,Algeria,DZA.43_1,Tiaret,Province,2.0
DZA.9_1,DZA,Algeria,DZA.9_1,Biskra,Province,1.8
DZA.24_1,DZA,Algeria,DZA.24_1,Khenchela,Province,2.0
TUN.18_1,TUN,Tunisia,TUN.18_1,Sidi Bou Zid,Governorate,1.6666666666666667
TUN.12_1,TUN,Tunisia,TUN.12_1,Mahdia,Governorate,2.0
TUN.17_1,TUN,Tunisia,TUN.17_1,Sfax,Governorate,1.0
GRC.4_1,GRC,Greece,GRC.4_1,Crete,Decentralized administration,1.6
XNC.2_1,XNC,Northern Cyprus,XNC.2_1,Girne,District,2.0
XNC.1_1,XNC,Northern Cyprus,XNC.1_1,Gazimağusa,District,2.0
SYR.9_1,SYR,Syria,SYR.9_1,Hims,Province,1.4736842105263157
IRQ.17_1,IRQ,Iraq,IRQ.17_1,Sala ad-Din,Province,1.8
IRN.10_1,IRN,Iran,IRN.10_1,Hamadan,Province,2.0
IRN.19_1,IRN,Iran,IRN.19_1,Markazi,Province,1.9090909090909092
AFG.12_1,AFG,Afghanistan,AFG.12_1,Hirat,Province,1.6818181818181819
AFG.5_1,AFG,Afghanistan,AFG.5_1,Bamyan,Province,1.0
AFG.28_1,AFG,Afghanistan,AFG.28_1,Parwan,Province,1.5
AFG.18_1,AFG,Afghanistan,AFG.18_1,Kunar,Province,3.0
IND.14_1,IND,India,IND.14_1,Jammu and Kashmir,State,2.073170731707317
KOR.14_1,KOR,South Korea,KOR.14_1,Jeollanam-do,Province,2.0
KOR.1_1,KOR,South Korea,KOR.1_1,Busan,Metropolitan City,2.0
JPN.42_1,JPN,Japan,JPN.42_1,Tottori,Prefecture,2.0
JPN.31_1,JPN,Japan,JPN.31_1,Okayama,Prefecture,2.0
JPN.13_1,JPN,Japan,JPN.13_1,Hyōgo,Prefecture,1.3333333333333333
JPN.36_1,JPN,Japan,JPN.36_1,Shiga,Prefecture,2.0
JPN.1_1,JPN,Japan,JPN.1_1,Aichi,Prefecture,2.0
JPN.38_1,JPN,Japan,JPN.38_1,Shizuoka,Prefecture,2.0
USA.25_1,USA,United States,USA.25_1,Mississippi,State,2.1914893617021276
USA.1_1,USA,United States,USA.1_1,Alabama,State,1.9615384615384615
USA.11_1,USA,United States,USA.11_1,Georgia,State,2.389830508474576
USA.41_1,USA,United States,USA.41_1,South Carolina,State,2.3
MAR.4_1,MAR,Morocco,MAR.4_1,Gharb - Chrarda - Béni Hssen,Region,2.0
MAR.15_1,MAR,Morocco,MAR.15_1,Taza - Al Hoceima - Taounate,Region,2.2222222222222223
DZA.48_1,DZA,Algeria,DZA.48_1,Tlemcen,Province,2.5
DZA.36_1,DZA,Algeria,DZA.36_1,Saïda,Province,2.0
CYP.3_1,CYP,Cyprus,CYP.3_1,Limassol,District,2.0
IRQ.1_1,IRQ,Iraq,IRQ.1_1,Al-Anbar,Province,1.0545454545454545
IRN.14_1,IRN,Iran,IRN.14_1,Kermanshah,Province,2.0
IRN.23_1,IRN,Iran,IRN.23_1,Qom,Province,2.0
IRN.30_1,IRN,Iran,IRN.30_1,Yazd,Province,1.0
AFG.10_1,AFG,Afghanistan,AFG.10_1,Ghor,Province,1.0
AFG.33_1,AFG,Afghanistan,AFG.33_1,Wardak,Province,1.25
AFG.14_1,AFG,Afghanistan,AFG.14_1,Kabul,Province,2.0
AFG.16_1,AFG,Afghanistan,AFG.16_1,Kapisa,Province,2.0
AFG.20_1,AFG,Afghanistan,AFG.20_1,Laghman,Province,2.0
PAK.3_1,PAK,Pakistan,PAK.3_1,F.A.T.A.,Territory,2.727272727272727
PAK.1_1,PAK,Pakistan,PAK.1_1,Azad Kashmir,Centrally Administered Area,2.3333333333333335
CHN.15_1,CHN,China,CHN.15_1,Jiangsu,Province,2.05
JPN.11_1,JPN,Japan,JPN.11_1,Hiroshima,Prefecture,2.0
JPN.23_1,JPN,Japan,JPN.23_1,Mie,Prefecture,2.0
MAR.3_1,MAR,Morocco,MAR.3_1,Fès - Boulemane,Region,2.3333333333333335
DZA.17_1,DZA,Algeria,DZA.17_1,El Bayadh,Province,1.2142857142857142
DZA.25_1,DZA,Algeria,DZA.25_1,Laghouat,Province,1.5555555555555556
DZA.18_1,DZA,Algeria,DZA.18_1,El Oued,Province,1.1111111111111112
TUN.6_1,TUN,Tunisia,TUN.6_1,Gafsa,Governorate,1.0
LBN.7_1,LBN,Lebanon,LBN.7_1,North,Governorate,2.0
LBN.2_1,LBN,Lebanon,LBN.2_1,Baalbak - Hermel,Governorate,2.0
IRQ.13_1,IRQ,Iraq,IRQ.13_1,Diyala,Province,1.6666666666666667
IRN.18_1,IRN,Iran,IRN.18_1,Lorestan,Province,2.0
IRN.6_1,IRN,Iran,IRN.6_1,Esfahan,Province,1.1521739130434783
AFG.6_1,AFG,Afghanistan,AFG.6_1,Daykundi,Province,1.1428571428571428
AFG.21_1,AFG,Afghanistan,AFG.21_1,Logar,Province,2.0
AFG.26_1,AFG,Afghanistan,AFG.26_1,Paktya,Province,2.3333333333333335
AFG.22_1,AFG,Afghanistan,AFG.22_1,Nangarhar,Province,3.0
CHN.26_1,CHN,China,CHN.26_1,Sichuan,Province,1.9623655913978495
CHN.1_1,CHN,China,CHN.1_1,Anhui,Province,2.0576923076923075
JPN.27_1,JPN,Japan,JPN.27_1,Naoasaki,Prefecture,0.4
JPN.46_1,JPN,Japan,JPN.46_1,Yamaguchi,Prefecture,2.0
JPN.17_1,JPN,Japan,JPN.17_1,Kagawa,Prefecture,2.0
JPN.44_1,JPN,Japan,JPN.44_1,Wakayama,Prefecture,2.0
JPN.28_1,JPN,Japan,JPN.28_1,Nara,Prefecture,2.0
MAR.1_1,MAR,Morocco,MAR.1_1,Chaouia - Ouardigha,Region,2.0
MAR.11_1,MAR,Morocco,MAR.11_1,Rabat - Salé - Zemmour - Zaer,Region,2.0
MAR.9_1,MAR,Morocco,MAR.9_1,Meknès - Tafilalet,Region,1.565217391304348
DZA.31_1,DZA,Algeria,DZA.31_1,Naâma,Province,1.1
DZA.33_1,DZA,Algeria,DZA.33_1,Ouargla,Province,1.0
TUN.22_1,TUN,Tunisia,TUN.22_1,Tozeur,Governorate,1.0
TUN.10_1,TUN,Tunisia,TUN.10_1,Kebili,Governorate,1.0
TUN.5_1,TUN,Tunisia,TUN.5_1,Gabès,Governorate,1.0
TUN.14_1,TUN,Tunisia,TUN.14_1,Médenine,Governorate,0.75
LBN.5_1,LBN,Lebanon,LBN.5_1,Mount Lebanon,Governorate,2.0
SYR.13_1,SYR,Syria,SYR.13_1,Rif Dimashq,Province,1.5
IRN.12_1,IRN,Iran,IRN.12_1,Ilam,Province,2.0
IRN.27_1,IRN,Iran,IRN.27_1,South Khorasan,Province,1.0
AFG.9_1,AFG,Afghanistan,AFG.9_1,Ghazni,Province,1.5714285714285714
PAK.7_1,PAK,Pakistan,PAK.7_1,Punjab,Province,1.654320987654321
JPN.7_1,JPN,Japan,JPN.7_1,Fukuoka,Prefecture,2.0
JPN.5_1,JPN,Japan,JPN.5_1,Ehime,Prefecture,2.0
JPN.20_1,JPN,Japan,JPN.20_1,Kochi,Prefecture,2.0
JPN.40_1,JPN,Japan,JPN.40_1,Tokushima,Prefecture,2.0
MAR.2_1,MAR,Morocco,MAR.2_1,Doukkala - Abda,Region,2.0
LBN.8_1,LBN,Lebanon,LBN.8_1,South,Governorate,2.0
ISR.1_1,ISR,Israel,ISR.1_1,Golan,District,2.0
SYR.6_1,SYR,Syria,SYR.6_1,Dar`a,Province,2.0
JOR.10_1,JOR,Jordan,JOR.10_1,Mafraq,Province,1.0
IRQ.10_1,IRQ,Iraq,IRQ.10_1,Baghdad,Province,1.0
IRQ.18_1,IRQ,Iraq,IRQ.18_1,Wasit,Province,1.1428571428571428
AFG.7_1,AFG,Afghanistan,AFG.7_1,Farah,Province,1.15
AFG.11_1,AFG,Afghanistan,AFG.11_1,Hilmand,Province,1.0
AFG.32_1,AFG,Afghanistan,AFG.32_1,Uruzgan,Province,1.3333333333333333
AFG.25_1,AFG,Afghanistan,AFG.25_1,Paktika,Province,2.0
AFG.17_1,AFG,Afghanistan,AFG.17_1,Khost,Province,3.0
KOR.12_1,KOR,South Korea,KOR.12_1,Jeju,Province,0.0
JPN.34_1,JPN,Japan,JPN.34_1,Saga,Prefecture,2.0
JPN.30_1,JPN,Japan,JPN.30_1,Oita,Prefecture,2.0
USA.19_1,USA,United States,USA.19_1,Louisiana,State,2.125
PRT.13_1,PRT,Portugal,PRT.13_1,Madeira,'Autonomous Region',0.0
DZA.20_1,DZA,Algeria,DZA.20_1,Ghardaïa,Province,1.0
TUN.21_1,TUN,Tunisia,TUN.21_1,Tataouine,Governorate,1.0
LBY.10_1,LBY,Libya,LBY.10_1,An Nuqat al Khams,District,1.0
LBY.11_1,LBY,Libya,LBY.11_1,Az Zawiyah,District,1.0
LBY.20_1,LBY,Libya,LBY.20_1,Tripoli,District,2.0
LBY.7_1,LBY,Libya,LBY.7_1,Al Marj,District,2.0
LBY.2_1,LBY,Libya,LBY.2_1,Al Jabal al Akhdar,District,1.75
LBY.13_1,LBY,Libya,LBY.13_1,Darnah,District,1.7142857142857142
